service_name,suburb,state,address,lat,lng,day,start_time,end_time,shift_status,van_asset
Kings Kitchen,Redcliffe,QLD,189 Redcliffe Parade,-27.224447,153.114328,Monday,4:00 pm,6:30 pm,Shift Status,Van Asset
Breakfast Club,Clontarf,QLD,34 Cornelius Street,-27.254838,153.085019,Thursday,1:00 pm,3:30 pm,Shift Status,Van Asset
Breakfast Club,Clontarf,QLD,34 Cornelius Street,-27.254838,153.085019,Tuesday,9:00 am,12:00 pm,Shift Status,Van Asset
Bright Suds Laundromat,Bray Park,QLD,4/245 Francis Road,-27.284678,152.959265,Monday,9:00 am,11:00 am,Shift Status,Van Asset
Bright Suds Laundromat,Bray Park,QLD,4/245 Francis Road,-27.284678,152.959265,Wednesday,6:00 pm,8:00 pm,Shift Status,Van Asset
Orange Sky HQ Laundromat,Stafford,QLD,1/32 Billabong Street,-27.416926,153.017997,Friday,10:00 am,3:00 pm,Shift Status,Van Asset
Orange Sky HQ Laundromat,Stafford,QLD,1/32 Billabong Street,-27.416926,153.017997,Thursday,10:00 am,3:00 pm,Shift Status,Van Asset
Orange Sky HQ Laundromat,Stafford,QLD,1/32 Billabong Street,-27.416926,153.017997,Wednesday,10:00 am,3:00 pm,Shift Status,Van Asset
Orange Sky HQ Laundromat,Stafford,QLD,1/32 Billabong Street,-27.416926,153.017997,Tuesday,10:00 am,3:00 pm,Shift Status,Van Asset
Orange Sky HQ Laundromat,Stafford,QLD,1/32 Billabong Street,-27.416926,153.017997,Monday,10:00 am,3:00 pm,Shift Status,Van Asset
Wynnum Community Centre,Wynnum,QLD,55 Berrima Street,-27.441012,153.172002,Tuesday,9:00 am,11:00 am,Shift Status,Van Asset
Rosies Wynnum,Wynnum,QLD,83 Tingal Road,-27.446966,153.173067,Friday,7:00 pm,9:00 pm,Shift Status,Van Asset
Jeays Street with Drug Arm,Bowen Hills,QLD,12 Jeays Street,-27.448434,153.036131,Friday,10:00 am,12:00 pm,Shift Status,Van Asset
Valley Hearts,Fortitude Valley,QLD,141 Brookes Street,-27.454119,153.038289,Monday,4:30 pm,6:30 pm,Shift Status,Van Asset
Valley Hearts,Fortitude Valley,QLD,278 Barry Parade,-27.456568,153.031325,Thursday,9:30 am,12:00 pm,Shift Status,Van Asset
Ivory St,Brisbane City,QLD,Ivory Street,-27.460128,153.035214,Saturday,3:00 pm,5:00 pm,Shift Status,Van Asset
Walk With Us,Burleigh Heads,QLD,2 Burleigh Street,-28.089046,153.44875,Tuesday,5:30 pm,7:30 pm,Shift Status,Van Asset
Burleigh Heads,Burleigh Heads,QLD,Park Avenue,-28.090527,153.452275,Thursday,7:00 pm,9:00 pm,Shift Status,Van Asset
Beached at Burleigh,Burleigh Heads,QLD,174 West Burleigh Road,-28.100289,153.4433,Friday,8:30 am,10:30 am,Shift Status,Van Asset
Uniting Care Services,Bilinga,QLD,93 Golden Four Drive,-28.164021,153.517306,Tuesday,9:00 am,12:00 pm,Shift Status,Van Asset
Brunz Brekkie,Brunswick Heads,NSW,50 Mullumbimbi Street,-28.539386,153.5486,Friday,8:00 am,11:30 am,Shift Status,Van Asset
Mullumbimby Hub,Mullumbimby,NSW,55 Dalley Street,-28.551962,153.499532,Monday,9:00 am,12:00 pm,Shift Status,Van Asset
Mullumbimby Hub,Mullumbimby,NSW,55 Dalley Street,-28.551962,153.499532,Wednesday,10:00 am,2:00 pm,Shift Status,Van Asset
The Winsome and Lismore Soup Kitchen,North Lismore,NSW,"Winsome Hotel, 11 Bridge Street",-28.805056,153.276105,Thursday,8:30 am,12:30 pm,Shift Status,Van Asset
The Winsome and Lismore Soup Kitchen,North Lismore,NSW,"Winsome Hotel, 11 Bridge Street",-28.805056,153.276105,Tuesday,8:30 am,12:30 pm,Shift Status,Van Asset
Social Futures,Ballina,NSW,103 River Street,-28.870406,153.561179,Monday,1:30 pm,4:00 pm,Shift Status,Van Asset
Wardell CORE,Wardell,NSW,3 Sinclair Street,-28.952564,153.465453,Saturday,8:30 am,12:30 pm,Shift Status,Van Asset
Kalgoorlie Ningamia,Parkeston,WA,"Ningamia Community, 51 Nhalpa Drive",-30.73158,121.492032,Monday,8:00 am,3:00 pm,Shift Status,Van Asset
Sobering Up Centre,Kalgoorlie,WA,8 MacDonald Street,-30.746374,121.477199,Wednesday,8:00 am,3:00 pm,Shift Status,Van Asset
Kalgoorlie Pod (Mon - Fri),Kalgoorlie,WA,150 Hay Street,-30.750394,121.466906,Friday,8:00 am,1:00 pm,Shift Status,Van Asset
Kalgoorlie Pod (Mon - Fri),Kalgoorlie,WA,150 Hay Street,-30.750394,121.466906,Thursday,8:00 am,1:00 pm,Shift Status,Van Asset
Kalgoorlie Pod (Mon - Fri),Kalgoorlie,WA,150 Hay Street,-30.750394,121.466906,Tuesday,8:00 am,1:00 pm,Shift Status,Van Asset
Kalgoorlie Pod (Mon - Fri),Kalgoorlie,WA,150 Hay Street,-30.750394,121.466906,Monday,8:00 am,1:00 pm,Shift Status,Van Asset
Boulder Camp,Kalgoorlie,WA,Hay Street,-30.753531,121.46367,Tuesday,8:00 am,3:00 pm,Shift Status,Van Asset
Boulder Camp,South Boulder,WA,355 Goldfields Highway,-30.79645,121.49486,Friday,8:00 am,3:00 pm,Shift Status,Van Asset
Kempsey Neighbourhood Centre,Kempsey,NSW,2 Geoffrey Debenham Street,-31.076708,152.843975,Wednesday,11:00 am,1:00 pm,Shift Status,Van Asset
Kempsey Neighbourhood Centre,Kempsey,NSW,2 Geoffrey Debenham Street,-31.076708,152.843975,Monday,10:00 am,2:00 pm,Shift Status,Van Asset
Port Anglican Soup Kitchen,Port Macquarie,NSW,74 Hay Street,-31.432019,152.910063,Wednesday,10:30 am,12:30 pm,Shift Status,Van Asset
Camden Haven Community,Kew,NSW,185 Kendall Road,-31.632597,152.722656,Wednesday,3:00 pm,5:00 pm,Shift Status,Van Asset
Salv Army Balga,Balga,WA,10 Lavant Way,-31.859025,115.834649,Tuesday,8:45 am,10:45 am,Shift Status,Van Asset
SDA Church Wingham,Wingham,NSW,1 Moon Street,-31.876482,152.365569,Thursday,10:00 am,12:00 pm,Shift Status,Van Asset
Midland Meals,Midland,WA,Cosmo Lane,-31.887298,116.00287,Saturday,5:30 pm,7:30 pm,Shift Status,Van Asset
Midland Meals,Midland,WA,Cosmo Lane,-31.887298,116.00287,Sunday,5:30 pm,7:30 pm,Shift Status,Van Asset
Dreambuilders,Midland,WA,334-336 Great Eastern Highway,-31.889654,115.999568,Thursday,8:30 am,11:00 am,Shift Status,Van Asset
Manning Uniting Church,Taree,NSW,29-35 Albert Street,-31.910357,152.46101,Friday,10:00 am,12:00 pm,Shift Status,Van Asset
